quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
126.08,TAS,Polyfoam,Bridgewater,-42.73661667,147.2549333
910.6197201,QLD,"""Scotia""",Wandoan,-25.943333,150.072222
183.36,SA,Kidman Gas,Leigh Creek,-28.230173,140.812644
18073.8484,SA,Limestone Creek Oil,Leigh Creek,-28.514621,140.391264
713.62,SA,Daralingie Gas,Leigh Creek,-28.370458,139.973211
1835.478,QLD,Beef City Feedlot,Purrawanda,-27.523639,151.619025
214.1073,QLD,Townsville Abattoir,Aitkenvale Via Townsville,-19.333333,146.854226
3164.5,TAS,Kara Mine,Hampshire,-41.31501573,145.7787119
1063.7598,VIC,Clayton Campus,Clayton,-37.91102,145.13364
106.817,QLD,Davenport Downs Compressor Station,Morney Tank,-24.337355,141.108489
1176.8,NSW,EnergyAustralia Tallawarra Pty Ltd,Yallah,-34.522894,150.808039
98.07487626,QLD,Reedy Creek Landfill,Reedy Creek,-28.10819444,153.4192667
182.4176,TAS,Tasmanian Advanced Minerals,Wynyard,-40.98153707,145.6960444
9983.7543,TAS,Port of Bell Bay,Bell Bay,-41.13226194,146.8664776
7477.8248,TAS,Port of Devonport,Devonport,-41.18488395,146.3624997
169.279,VIC,"Luv-a-Duck Processing, Nhill",Nhill,-36.323113,141.62869
10.243608,SA,Angas Zinc Mine,Strathalbyn,-35.2511111,138.9197222
67.81,VIC,Wodonga,Wodonga,-36.103765,146.854456
1295.009,NSW,Etex - Matraville,Matraville,-33.970322,151.231357
126.9538,WA,Milne Feeds,Welshpool,-31.994889,115.928284
507.461,NSW,Boral Byrock Quarry,Byrock,-30.709771,146.307235
43,QLD,Clifton,Clifton,-27.930333,151.906361
1144.692,ACT,Boral Mugga Lane Quarry,Symonston,-35.366813,149.136645
556.536,VIC,Coldstream Quarry,Lilydale,-37.738284,145.367323
130.942,WA,Wylie Bay Waste Management Facility,Bandy Creek,-33.826327,121.960537
7260,QLD,Jordan CPP,Kogan,-27.110322,150.714028
75.9474,WA,Manjimup Recycling and Refuse Centre,Manjimup,-34.216837,116.122779
154.357181,NSW,Steggles Beresfield Site No 2,Beresfield,-32.795299,151.645919
5620.15,NSW,CBH Resources- Rasp Mine,Broken Hill,-31.966404,141.461589
400.165,SA,Para Hills Quarry,Gulfview Heights,-34.787976,138.678549
2078,NSW,National Ceramic Industries Rutherford Plant,Rutherford,-32.717466,151.503076
101.16,QLD,Kogan Gas Field,Via Dalby,-27.07836944,150.9372278
99.45,NSW,Junee Abattoir,Junee,-34.891071,147.578215
11432,WA,Christmas Island Power Station,Christmas Island,-10.442222,105.666944
50302.73,NSW,Borg Panels Pty Ltd,Oberon,-33.690817,149.857163
296.3,QLD,Tipton Operations,(Via) Dalby,-27.4006944,151.116672
187.01,QLD,Moranbah Operations,Moranbah,-21.989376,148.017122
6013.68849,WA,Beenyup Wastewater Treatment Plant,Craigie,-31.785833,115.776667
3343.3657,WA,Quintis Sandalwood,Albany,-34.9241,117.790411
5705.8,NSW,Allandale Quarry,Allandale,-32.741046,151.410913
29163.42,QLD,Darling Downs Power Station,Dalby,-27.11430353,150.8968157
2.384,WA,"GGT, Jaguar Delivery/Meter Station",Leonora,-28.424031,121.143708
2613.22,QLD,Tarbat,Quilpie Shire,-26.888701,143.28938
245.38,QLD,Mt Cordelia Quarry,Mount Cordelia,-18.605211,146.239936
910.45,WA,Bunbury Quarry,Gelorup,-33.406653,115.653073
